iter	Passed	Remaining
0	130	130780
1	131	65784
2	132	44031
3	132	33112
4	133	26559
5	133	22192
6	134	19074
7	134	16734
8	135	14915
9	135	13459
10	136	12267
11	136	11275
12	137	10436
13	137	9714
14	138	9089
15	138	8543
16	139	8062
17	139	7633
18	140	7249
19	140	6904
20	141	6592
21	141	6308
22	142	6048
23	142	5810
24	143	5591
25	143	5388
26	144	5201
27	144	5026
28	145	4864
29	145	4715
30	146	4575
31	146	4443
32	147	4318
33	147	4201
34	148	4091
35	148	3987
36	149	3888
37	149	3794
38	150	3705
39	150	3621
40	151	3540
41	151	3464
42	152	3390
43	152	3321
44	153	3254
45	153	3190
46	154	3129
47	154	3071
48	155	3015
49	155	2962
50	156	2910
51	156	2861
52	157	2813
53	157	2766
54	158	2722
55	159	2682
56	159	2641
57	160	2601
58	160	2564
59	161	2527
60	161	2492
61	162	2457
62	162	2423
63	163	2390
64	164	2359
65	164	2328
66	165	2297
67	165	2265
68	165	2236
69	166	2208
70	166	2181
71	167	2156
72	167	2130
73	168	2106
74	168	2081
75	169	2058
76	169	2034
77	170	2012
78	170	1990
79	171	1969
80	171	1948
81	172	1928
82	172	1908
83	173	1889
84	173	1868
85	174	1850
86	174	1830
87	174	1812
88	175	1795
89	175	1778
90	176	1762
91	176	1746
92	177	1730
93	177	1714
94	178	1699
95	178	1684
96	179	1669
97	179	1654
98	180	1640
99	180	1627
100	181	1613
101	181	1598
102	182	1584
103	182	1572
104	182	1559
105	183	1547
106	183	1534
107	184	1523
108	184	1512
109	185	1501
110	186	1489
111	186	1478
112	187	1467
113	187	1457
114	187	1446
115	188	1435
116	188	1425
117	189	1415
118	189	1404
119	190	1394
120	190	1384
121	191	1375
122	191	1364
123	191	1355
124	192	1346
125	192	1337
126	193	1328
127	193	1319
128	194	1310
129	194	1302
130	195	1294
131	195	1285
132	196	1277
133	196	1269
134	196	1262
135	197	1254
136	197	1246
137	198	1239
138	198	1231
139	199	1224
140	199	1217
141	200	1210
142	200	1203
143	201	1196
144	201	1190
145	202	1183
