iter	Passed	Remaining
0	128	128800
1	129	64724
2	130	43337
3	130	32595
4	131	26151
5	131	21853
6	132	18786
7	132	16482
8	133	14692
9	133	13257
10	134	12084
11	134	11107
12	135	10280
13	135	9571
14	136	8959
15	137	8426
16	137	7952
17	138	7531
18	138	7154
19	139	6821
20	139	6514
21	140	6238
22	140	5984
23	141	5749
24	141	5533
25	142	5333
26	142	5148
27	143	4976
28	143	4816
29	144	4667
30	144	4527
31	145	4396
32	145	4273
33	146	4157
34	146	4047
35	147	3944
36	147	3848
37	148	3757
38	148	3670
39	149	3588
40	150	3509
41	150	3435
42	151	3364
43	151	3296
44	152	3232
45	152	3170
46	153	3111
47	153	3053
48	154	2999
49	155	2946
50	155	2895
51	156	2845
52	156	2797
53	157	2751
54	157	2707
55	158	2664
56	158	2623
57	159	2583
58	159	2545
59	160	2507
60	161	2480
61	161	2445
62	162	2411
63	162	2379
64	163	2347
65	163	2316
66	164	2286
67	164	2256
68	165	2231
69	165	2204
70	166	2178
71	167	2152
72	167	2128
73	168	2104
74	168	2080
75	169	2057
76	169	2034
77	170	2011
78	170	1989
79	171	1968
80	171	1947
81	172	1927
82	172	1905
83	172	1886
84	173	1867
85	174	1850
86	174	1834
87	175	1818
88	175	1801
89	176	1784
90	177	1768
91	177	1752
92	178	1736
93	178	1720
94	179	1705
95	179	1690
96	180	1678
97	180	1665
98	181	1654
99	182	1642
100	183	1630
101	183	1618
102	184	1606
103	185	1594
104	185	1582
105	186	1572
106	187	1560
107	187	1549
108	188	1537
109	188	1525
110	189	1514
111	189	1503
112	190	1492
113	190	1481
114	191	1470
115	191	1460
116	192	1449
117	192	1439
118	193	1429
119	193	1419
120	194	1409
121	194	1399
122	194	1390
123	195	1381
124	196	1372
125	196	1363
126	196	1353
127	197	1345
128	198	1340
129	199	1332
130	199	1325
131	200	1317
132	200	1309
133	201	1301
134	201	1293
135	202	1285
136	202	1278
137	203	1270
138	203	1263
139	204	1255
140	204	1248
141	205	1240
142	205	1233
143	206	1226
144	206	1219
145	207	1212
146	207	1205
147	208	1199
148	208	1192
149	209	1186
150	210	1181
151	210	1174
152	211	1168
153	211	1162
154	212	1158
155	213	1152
156	213	1146
157	213	1140
158	214	1134
159	215	1128
160	215	1122
161	215	1116
162	216	1111
163	216	1105
164	217	1100
165	218	1095
166	218	1090
167	219	1084
168	219	1079
169	220	1074
170	220	1069
171	221	1063
172	221	1058
173	221	1053
174	222	1048
175	222	1043
176	223	1038
177	223	1034
178	224	1029
179	225	1026
180	225	1022
181	226	1018
182	227	1015
183	228	1011
184	228	1007
185	229	1003
186	229	999
187	230	995
188	231	991
189	231	987
190	232	983
191	232	979
192	233	975
193	233	971
194	234	967
195	234	963
196	235	959
197	235	955
198	236	951
199	236	947
200	237	943
201	237	939
202	238	935
203	238	931
204	239	928
205	239	924
206	240	921
207	241	918
208	241	914
209	242	910
210	242	907
211	243	903
212	243	900
213	244	896
214	244	893
215	245	889
216	245	886
217	246	882
218	246	879
219	247	875
220	247	872
221	248	869
222	248	865
223	249	862
224	249	859
225	250	856
226	250	853
227	251	850
228	251	847
229	252	844
230	252	840
231	253	837
232	253	834
233	254	831
234	254	828
235	255	828
236	256	825
237	257	822
238	257	819
239	258	817
240	258	814
241	259	811
242	259	808
243	260	805
244	260	802
245	261	800
246	261	797
247	261	794
248	262	791
249	262	788
250	263	786
251	263	783
252	264	780
253	265	778
254	265	776
255	266	773
256	266	770
257	267	768
258	267	765
259	268	763
260	268	760
261	269	757
262	269	755
263	270	752
264	270	750
265	271	748
266	271	745
267	272	743
268	272	741
269	273	738
270	273	736
271	274	734
272	274	732
273	275	729
274	275	727
275	276	724
276	276	722
277	277	720
278	277	718
279	278	715
280	278	713
281	279	711
282	279	709
283	280	706
284	280	704
285	281	702
286	281	699
287	282	697
288	282	695
289	283	693
290	283	691
291	284	688
292	284	686
293	285	685
294	285	683
295	286	681
296	287	679
297	287	677
298	288	675
299	288	673
300	289	671
301	289	669
302	290	667
303	290	665
304	291	663
305	291	661
306	292	659
307	292	657
308	293	655
309	293	653
310	294	651
311	294	649
312	295	648
313	295	646
314	296	644
315	296	642
316	297	640
317	297	638
318	298	636
319	298	634
320	299	632
321	299	630
322	300	629
323	300	627
324	301	625
325	301	623
326	302	621
327	302	620
328	303	618
329	303	616
330	304	614
331	304	612
332	305	611
333	305	609
334	306	607
335	306	605
336	307	603
337	307	602
338	307	600
339	308	598
340	308	597
341	309	595
342	309	593
343	310	591
344	310	590
345	311	588
346	311	586
347	312	585
348	312	583
349	313	581
350	313	580
351	314	578
352	314	576
353	315	575
354	315	573
355	316	571
356	316	570
357	317	568
358	317	567
359	318	565
360	318	564
361	319	562
362	319	561
363	320	559
364	320	557
365	321	556
366	321	554
367	322	553
368	322	551
369	323	550
370	323	548
371	324	547
372	324	545
373	325	544
374	325	542
375	326	541
376	326	539
377	327	538
378	327	536
379	328	535
380	328	533
381	328	532
382	329	530
383	329	529
384	330	527
385	331	526
386	331	525
387	332	523
388	332	522
389	333	521
390	333	519
391	334	518
392	334	516
393	335	515
394	335	514
395	336	512
396	336	511
397	337	509
398	337	508
399	338	507
400	338	505
401	339	504
402	339	503
403	340	501
404	340	500
405	341	498
406	341	497
407	341	496
408	342	494
409	342	493
410	343	492
411	343	490
412	344	489
413	344	488
414	345	486
415	345	485
416	346	484
417	347	483
418	347	481
419	348	480
420	348	479
421	348	478
422	349	476
423	349	475
424	350	474
425	350	472
426	351	471
427	351	470
428	352	468
429	352	467
430	353	466
431	353	465
432	354	463
433	354	462
434	355	461
435	355	460
436	356	458
437	356	457
438	357	456
439	357	455
440	358	453
441	358	452
442	359	451
443	359	450
444	360	449
445	360	448
446	361	447
447	361	445
448	362	444
449	362	443
450	363	442
451	363	441
452	364	439
453	364	438
454	365	437
455	365	436
456	366	435
457	366	434
458	367	432
459	367	431
460	368	430
461	368	429
462	369	428
463	369	427
464	370	425
465	370	424
466	371	423
467	371	422
468	372	421
469	372	420
470	373	418
471	373	417
472	374	416
473	374	415
474	375	414
475	375	413
476	376	412
477	376	411
478	377	410
479	377	409
480	378	407
481	378	406
482	379	405
483	379	404
484	380	403
485	380	402
486	381	401
487	381	400
488	382	399
489	382	398
490	383	397
491	383	396
492	384	394
493	384	393
494	385	392
495	385	391
496	385	390
497	386	389
498	386	388
499	387	387
500	387	386
501	388	385
502	388	384
503	389	383
504	390	382
505	391	381
506	391	380
507	392	379
508	392	378
509	393	377
510	393	376
511	394	375
512	394	374
513	395	373
514	395	372
515	396	371
516	396	370
517	397	369
518	397	368
519	398	367
520	398	366
521	399	365
522	399	364
523	400	363
524	400	362
525	401	361
526	401	360
527	402	359
528	402	358
529	403	357
530	403	356
531	404	355
532	404	354
533	405	353
534	405	352
535	406	351
536	406	350
537	407	349
538	407	348
539	408	347
540	408	346
541	409	345
542	409	344
543	410	343
544	410	342
545	411	342
546	411	341
547	412	340
548	412	339
549	413	338
550	413	337
551	414	336
552	414	335
553	415	334
554	415	333
555	416	332
556	416	331
557	417	330
558	417	329
559	418	328
560	418	327
561	419	326
562	419	326
563	420	325
564	421	324
565	421	323
566	422	322
567	422	321
568	423	320
569	423	319
570	424	318
571	424	317
572	425	316
573	425	315
574	426	314
575	426	314
576	427	313
577	427	312
578	428	311
579	428	310
580	428	309
581	429	308
582	429	307
583	430	306
584	430	305
585	431	304
586	431	303
587	432	302
588	432	302
589	433	301
590	433	300
591	434	299
592	434	298
593	435	297
594	435	296
595	436	295
596	437	294
597	437	294
598	437	293
599	438	292
600	438	291
601	439	290
602	439	289
603	440	288
604	440	287
605	441	286
606	441	286
607	442	285
608	442	284
609	443	283
610	443	282
611	444	281
612	444	280
613	445	279
614	445	278
615	446	278
616	446	277
617	447	276
618	447	275
619	448	274
620	448	273
621	448	272
622	449	272
623	450	271
624	450	270
625	451	269
626	451	268
627	452	267
628	452	267
629	453	266
630	453	265
631	454	264
632	454	263
633	455	262
634	455	261
635	456	261
636	456	260
637	457	259
638	457	258
639	458	257
640	458	256
641	459	256
642	459	255
643	460	254
644	460	253
645	461	252
646	461	251
647	462	251
648	462	250
649	463	249
650	463	248
651	464	247
652	464	246
653	465	246
654	465	245
655	466	244
656	466	243
657	467	242
658	467	242
659	468	241
660	468	240
661	469	239
662	469	238
663	470	237
664	470	237
665	471	236
666	471	235
667	472	234
668	472	233
669	473	233
670	473	232
671	474	231
672	474	230
673	475	229
674	475	229
675	476	228
676	476	227
677	477	226
678	477	225
679	478	225
680	478	224
681	479	223
682	479	222
683	480	221
684	480	221
685	481	220
686	481	219
687	482	218
688	482	217
689	483	217
690	483	216
691	484	215
692	484	214
693	485	213
694	485	213
695	486	212
696	486	211
697	487	210
698	487	209
699	488	209
700	488	208
701	489	207
702	489	206
703	490	206
704	490	205
705	491	204
706	491	203
707	491	202
708	492	202
709	492	201
710	493	200
711	493	199
712	494	199
713	494	198
714	495	197
715	496	196
716	496	196
717	497	195
718	497	194
719	498	193
720	498	192
721	499	192
722	499	191
723	500	190
724	500	189
725	501	189
726	501	188
727	502	187
728	502	186
729	503	186
730	503	185
731	503	184
732	504	183
733	504	182
734	505	182
735	505	181
736	506	180
737	506	179
738	507	179
739	507	178
740	508	177
741	508	176
742	509	176
743	509	175
744	510	174
745	510	173
746	511	173
747	512	172
748	512	171
749	513	171
750	513	170
751	513	169
752	514	168
753	514	167
754	515	167
755	515	166
756	516	165
757	516	165
758	517	164
759	517	163
760	518	162
761	518	162
762	519	161
763	520	160
764	520	160
765	521	159
766	522	158
767	522	157
768	523	157
769	523	156
770	524	155
771	524	154
772	525	154
773	525	153
774	526	152
775	526	152
776	527	151
777	528	150
778	528	149
779	529	149
780	529	148
781	530	147
782	530	147
783	531	146
784	531	145
785	532	144
786	532	144
787	533	143
788	533	142
789	534	142
790	534	141
791	535	140
792	535	139
793	536	139
794	536	138
795	537	137
796	537	136
797	538	136
798	538	135
799	539	134
800	539	134
801	540	133
802	540	132
803	541	131
804	541	131
805	542	130
806	543	129
807	543	129
808	544	128
809	544	127
810	545	127
811	545	126
812	546	125
813	546	124
814	547	124
815	547	123
816	548	122
817	548	122
818	549	121
819	549	120
820	550	119
821	550	119
822	551	118
823	551	117
824	552	117
825	552	116
826	553	115
827	553	115
828	554	114
829	554	113
830	555	112
831	556	112
832	556	111
833	557	110
834	557	110
835	558	109
836	558	108
837	559	108
838	559	107
839	560	106
840	560	106
841	561	105
842	561	104
843	562	103
844	562	103
845	563	102
846	563	101
847	564	101
848	564	100
849	565	99
850	565	99
851	566	98
852	566	97
853	567	96
854	567	96
855	568	95
856	568	94
857	569	94
858	569	93
859	570	92
860	570	92
861	571	91
862	571	90
863	572	90
864	572	89
865	573	88
866	573	88
867	574	87
868	574	86
869	575	85
870	575	85
871	576	84
872	576	83
873	577	83
874	577	82
875	578	81
876	578	81
877	579	80
878	579	79
879	580	79
880	580	78
881	581	77
882	581	77
883	582	76
884	582	75
885	583	75
886	583	74
887	584	73
888	584	73
889	585	72
890	585	71
891	586	70
892	586	70
893	587	69
894	587	68
895	588	68
896	589	67
897	589	66
898	590	66
899	590	65
900	591	64
901	591	64
902	592	63
903	592	62
904	593	62
905	593	61
906	594	60
907	594	60
908	594	59
909	595	58
910	595	58
911	596	57
912	596	56
913	597	56
914	597	55
915	598	54
916	598	54
917	599	53
918	599	52
919	600	52
920	600	51
921	601	50
922	601	50
923	602	49
924	602	48
925	603	48
926	604	47
927	604	46
928	605	46
929	605	45
930	606	44
931	606	44
932	607	43
933	607	42
934	608	42
935	608	41
936	609	40
937	609	40
938	610	39
939	610	38
940	611	38
941	611	37
942	612	37
943	612	36
944	613	35
945	613	35
946	614	34
947	614	33
948	615	33
949	615	32
950	616	31
951	616	31
952	617	30
953	617	29
954	618	29
955	618	28
956	619	27
957	619	27
958	620	26
959	620	25
960	621	25
961	621	24
962	622	23
963	622	23
964	623	22
965	623	21
966	624	21
967	624	20
968	625	20
969	625	19
970	626	18
971	626	18
972	627	17
973	627	16
974	628	16
975	628	15
976	629	14
977	629	14
978	630	13
979	630	12
980	631	12
981	631	11
982	632	10
983	632	10
984	633	9
985	633	8
986	634	8
987	634	7
988	635	7
989	635	6
990	636	5
991	636	5
992	637	4
993	637	3
994	638	3
995	638	2
996	639	1
997	639	1
998	640	0
999	640	0
